1;ACESSO
2;ADRO
4;ALAMEDA
5;ALTA
7;ATALHO
8;AVENIDA
9;BALNEARIO
10;BELVEDERE
11;BECO
12;BLOCO
13;BOSQUE
14;BOULEVARD
15;BAIXA
16;CAIS
17;CAMINHO
19;CHAPADAO
20;CONJUNTO
21;COLONIA
22;CORREDOR
23;CAMPO
24;CORREGO
27;DESVIO
28;DISTRITO
30;ESCADA
31;ESTRADA
32;ESTACAO
33;ESTADIO
36;FAVELA
37;FAZENDA
38;FERROVIA
39;FONTE
40;FEIRA
43;FORTE
45;GALERIA
46;GRANJA
50;ILHA
52;JARDIM
53;LADEIRA
54;LARGO
55;LAGOA
56;LOTEAMENTO
59;MORRO
60;MONTE
62;PARALELA
63;PASSEIO
64;PATIO
65;PRACA
67;PARADA
70;PRAIA
71;PROLONGAMENTO
72;PARQUE
73;PASSARELA
74;PASSAGEM
76;PONTE
77;QUADRA
79;QUINTA
81;RUA
82;RAMAL
87;RECANTO
88;RETIRO
89;RETA
90;RODOVIA
91;RETORNO
92;SITIO
94;SERVIDAO
95;SETOR
96;SUBIDA
97;TRINCHEIRA
98;TERMINAL
99;TREVO
100;TRAVESSA
101;VIA
103;VIADUTO
104;VILA
105;VIELA
106;VALE
108;ZIGUE-ZAGUE
452;TRECHO
453;VEREDA
465;ARTERIA
468;ELEVADA
469;PORTO
470;BALAO
471;PARADOURO
472;AREA
473;JARDINETE
474;ESPLANADA
475;QUINTAS
476;ROTULA
477;MARINA
478;DESCIDA
479;CIRCULAR
480;UNIDADE
481;CHACARA
482;RAMPA
483;PONTA
484;VIA DE PEDESTRE
485;CONDOMINIO
486;NUCLEO HABITACIONAL
487;RESIDENCIAL
495;CANAL
496;BURACO
497;MODULO
498;ESTANCIA
499;LAGO
500;NUCLEO
501;AEROPORTO
502;PASSAGEM SUBTERRANEA
503;COMPLEXO VIARIO
504;PRACA DE ESPORTES
505;VIA ELEVADO
506;ROTATORIA
507;1A TRAVESSA
508;2A TRAVESSA
509;3A TRAVESSA
510;4A TRAVESSA
511;5A TRAVESSA
512;6A TRAVESSA
513;7A TRAVESSA
514;8A TRAVESSA
515;9A TRAVESSA
516;10A TRAVESSA
517;11A TRAVESSA
518;12A TRAVESSA
519;13A TRAVESSA
520;14A TRAVESSA
521;15A TRAVESSA
522;16A TRAVESSA
523;1O ALTA
524;2O ALTA
525;3O ALTA
526;4O ALTA
527;5O ALTA
528;1O BECO
529;2O BECO
530;3O BECO
531;4O BECO
532;5O BECO
533;1A PARALELA
534;2A PARALELA
535;3A PARALELA
536;4A PARALELA
537;5A PARALELA
538;1A SUBIDA
539;2A SUBIDA
540;3A SUBIDA
541;4A SUBIDA
542;5A SUBIDA
543;6A SUBIDA
544;1A VILA
545;2A VILA
546;3A VILA
547;4A VILA
548;5A VILA
549;1O PARQUE
550;2O PARQUE
551;3O PARQUE
552;1A RUA
553;2A RUA
554;3A RUA
555;5A RUA
556;4A RUA
557;6A RUA
558;7A RUA
559;8A RUA
560;9A RUA
561;10A RUA
562;11A RUA
563;12A RUA
564;ESTACIONAMENTO
565;VALA
566;RUA DE PEDESTRE
567;TUNEL
568;VARIANTE
569;RODO ANEL
570;TRAVESSA PARTICULAR
571;CALCADA
572;VIA DE ACESSO
573;ENTRADA PARTICULAR
645;ACAMPAMENTO
646;VIA EXPRESSA
650;ESTRADA MUNICIPAL
651;AVENIDA CONTORNO
652;ENTRE QUADRA
653;RUA DE LIGACAO
654;AREA ESPECIAL
655;1A AVENIDA
656;2A AVENIDA
657;3A AVENIDA
658;4A AVENIDA
659;18A TRAVESSA
660;19A TRAVESSA
661;5A AVENIDA
662;RECREIO
663;PARQUE MUNICIPAL
664;CONJUNTO MUTIRAO
665;PARQUE RESIDENCIAL
666;VIA LOCAL
667;ACESSO LOCAL
668;VIA COLETORA
669;RUA PARTICULAR
670;RUA INTEGRACAO
671;ESTRADA VELHA
672;RUA VELHA
673;TRAVESSA VELHA
674;ANTIGA ESTRADA
675;ESTRADA DE LIGACAO
676;ESTRADA ESTADUAL
677;AVENIDA MARGINAL
678;AVENIDA VELHA
679;AVENIDA MARGINAL ESQUERDA
680;AVENIDA MARGINAL DIREITA
681;ESTRADA PARTICULAR
682;ESTRADA ANTIGA
683;6A AVENIDA
685;VIA LITORANEA
686;CONTORNO
687;BLOCOS
688;CICLOVIA
689;BULEVAR
690;ESCADARIA
691;PRIMEIRA LADEIRA
692;2A LADEIRA
693;3A LADEIRA
694;QUARTA LADEIRA
695;QUINTA LADEIRA
696;PASSAGEM DE PEDESTRES
697;ESTRADA VICINAL
698;RUA PROJETADA
699;RUA PRINCIPAL
700;TERCEIRA AVENIDA
701;SEGUNDA AVENIDA
702;PASSEIO PUBLICO
704;ENTRE BLOCO
705;ENSEADA
706;ILHOTA
707;VIA DE PEDESTRES
708;2A TRAVESSA DA RODOVIA
709;1A TRAVESSA DA RODOVIA
710;ESTRADA INTERMUNICIPAL
711;VIA COSTEIRA
712;ESTRADA DE SERVIDAO
713;COMUNIDADE
714;EIXO INDUSTRIAL
715;MERCADO
716;EVANGELICA
717;CAMPUS
718;PROJECAO
719;NUCLEO RURAL
720;MARGEM
721;AREA VERDE
722;CONDOMINIO RESIDENCIAL
723;CALCADAO
724;RUELA
725;AVENIDA PERIMETRAL
726;VIA PRINCIPAL
727;VIA PEDESTRE
728;VIA LATERAL
729;CAMINHO DE SERVIDAO
730;AVENIDA MARGINAL NORTE
731;ESTRADA DE FERRO
732;EIXO PRINCIPAL
733;EIXO
734;OUTEIRO
735;ESTRADA NOVA
736;CONJUNTO HABITACIONAL
737;JARDIM RESIDENCIAL
738;ANEL VIARIO
739;SERVIDAO DE PASSAGEM
740;17A TRAVESSA
741;ANTIGA ESTACAO
742;20A TRAVESSA
743;21A TRAVESSA
744;22A TRAVESSA
745;CONJUNTO RESIDENCIAL
746;2A ALAMEDA
747;VARIANTE DA ESTRADA
748;VIA MARGINAL
749;MODULO COMERCIAL
750;NOVA AVENIDA
751;GLEBA
998;ALDEIA
999;INVÁLIDO
